,0,1
829, GI_13259542-A,
830, GI_14192942-S,
831, GI_11038670-S,
832, GI_16554613-S,
833, GI_13375859-S,
834, GI_13929463-A,
835, GI_11496988-S,
836, GI_14150138-S,
837, GI_14110410-I,
838, GI_14249259-S,
839, GI_13384601-S,
840, GI_15451843-I,
841, GI_12232400-S,
842, GI_11141898-S,
843, GI_15011940-A,
844, GI_14165470-S,
845, GI_14249177-S,
846, GI_15208653-S,
847, GI_14600335-S,
848, GI_14249519-S,
849, GI_15812218-S,
850, GI_14591915-S,
851, GI_14916472-S,
852, GI_14249467-I, GI_14916472-S
853, GI_14577927-S,
854, GI_10835168-S,
855, GI_13376087-S,
856, GI_13899331-S,
857, GI_14149616-S,
858, GI_14149874-S,
859, GI_12232428-S,
860, GI_10835048-S,
861, GI_16554617-S,
862, GI_14141173-S,
863, GI_14141188-S,
864, GI_13325074-S,
865, GI_14702185-A,
866, GI_14149929-S,
867, GI_11496970-A,
868, GI_14589952-S,
869, GI_13375741-S,
870, GI_13376182-S,
871, GI_15011921-S,
872, GI_14916487-I,
873, GI_15451905-S,
874, GI_14916502-A,
875, GI_15451865-A,
876, GI_12751492-S,
877, GI_15812197-S,
878, GI_13937360-S,
879, GI_14149656-S,
880, GI_16905511-S,
881, GI_14790127-A,
882, GI_11415035-S,
883, GI_13376246-S,
884, GI_10938020-S,
885, GI_13376291-S,
886, GI_14790142-S,
887, GI_14150142-S,
888, GI_13375806-S,
889, GI_14211842-S,
890, GI_16905512-S,
891, GI_13128993-S,
892, GI_14717406-S,
893, GI_12707565-S,
894, GI_16579882-S,
895, GI_10864022-S,
896, GI_13435349-A,
897, GI_15011938-S,
898, GI_16418408-S,
899, GI_11761614-A,
900, GI_14149719-S,
901, GI_13259538-S,
902, GI_15193293-S,
903, GI_15812185-I,
904, GI_12056477-S,
905, GI_13899240-S,
906, GI_13259551-A,
907, GI_15718686-S,
908, GI_15147249-S,
909, GI_14591930-S,
910, GI_13129061-S,
911, GI_16357470-I,
912, GI_13899304-S,
913, GI_10835084-S,
914, GI_13677215-A,
915, GI_13899252-S,
916, GI_13899316-S,
917, GI_10938009-A,
918, GI_16579891-A,
919, GI_14790166-A,
920, GI_15718672-S,
921, GI_16506819-S,
922, GI_14917108-S,
923, GI_16753206-S,
924, GI_13376750-S,
925, GI_11968022-S,
926, GI_11321592-S,
927, GI_13376994-S,
928, GI_14149674-S,
929, GI_13129115-S,
930, GI_13129005-S,
931, GI_14150028-S,
932, GI_11496880-S,
933, GI_16445433-S,
934, GI_14110413-A,
935, GI_16554610-S,
936, GI_11968026-S,
937, GI_12232372-S,
938, GI_10835020-S,
939, GI_13128997-S,
940, GI_14249499-S,
941, GI_14043023-S,
